Non_Zero_Non_One_Weights,Biases
0.28666398,
,0.10215113
0.9792228,
0.07559176,
1.1119347,
1.385243,
0.8348997,
0.740102,
1.0442063,
1.2033179,
,0.54991317
,0.74679106
,-0.48796937
,-0.3851314
,1.449751
,0.51088685
,0.060302738
,1.3892674
1.0,
1.0,
1.0,
1.0,
0.7032218,
0.259558,
0.18907346,
1.0,
7.3060284e-05,
,0.0
,0.0
,0.0
,0.0
,0.54757327
,0.225888
,0.43159795
,0.0
1.0,
1.0,
1.0,
1.0,
1.0432484,
1.0,
0.7987967,
0.33632421,
,0.0
,0.0
,0.0
,0.0
,0.6778665
,0.0
,0.21963437
,0.08614085
1.0,
1.0,
1.0,
1.0,
1.2443663,
1.0732546,
1.3118377,
2.2229068,
0.6749469,
1.0,
1.1584136,
2.01228,
,0.0
,0.0
,0.0
,0.0
,0.5391482
,0.773258
,2.0000596
,0.31404275
,0.0
,1.0749826
,1.479323
1.0,
1.0,
1.0,
1.0,
1.0,
1.088748,
1.0,
0.6952665,
1.0,
0.79285794,
0.75957876,
-0.0005299019,
-2.9255114e-09,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,1.0147287
,0.0
,0.72282034
,0.0
,0.4839827
,4.9648347
,4.2474575
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5773394,
1.0,
0.52263355,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.46440402
,0.0
,0.6815071
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.6120911,
0.5172868,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.5524611
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0333589,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.55271447
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.83733946,
1.0,
1.0,
0.26423135,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.5360993
,0.0
,0.0
,0.14524631
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
5.3005555e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.34138063,
,-0.5175533
1.0387052,
0.37132517,
1.0732692,
0.9762818,
1.1827927,
0.6486525,
0.744872,
1.383248,
,0.3504519
,-0.24389775
,-0.35867023
,0.9845648
,0.2842965
,0.81696576
,1.0637438
,0.78626895
1.0,
1.0,
1.0,
1.0,
0.7419818,
0.39610633,
0.25638697,
1.0,
7.321054e-05,
,0.0
,0.0
,0.0
,0.0
,0.38294247
,-0.18208252
,0.23165067
,0.0
1.0,
1.0,
1.0,
1.0,
1.1182634,
1.0,
0.4375622,
0.29313388,
,0.0
,0.0
,0.0
,0.0
,0.41273168
,0.0
,0.58027035
,0.20006782
1.0,
1.0,
1.0,
1.0,
1.2210811,
1.2134151,
1.2955198,
2.2499726,
0.7322091,
1.0,
1.1862823,
1.8476349,
,0.0
,0.0
,0.0
,0.0
,0.64073026
,0.6477054
,1.9694799
,0.25503245
,0.0
,1.0893718
,1.7648422
1.0,
1.0,
1.0,
1.0,
1.0,
1.1072997,
1.0,
0.701227,
1.0,
0.867828,
0.68701255,
-1.9778486e-06,
-4.224474e-07,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.9557093
,0.0
,0.69793075
,0.0
,0.59041184
,4.9775133
,4.247438
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5781059,
1.0,
0.5632526,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.46096954
,0.0
,0.53186595
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.4999368,
0.67457765,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.39414093
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.9581004,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.8586281
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.8578619,
1.0,
1.0,
0.2811405,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.43855545
,0.0
,0.0
,0.09056778
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
6.270145e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.25967622,
,0.40776557
0.7530909,
0.060696065,
1.0271218,
1.0118005,
0.9248784,
1.0288429,
0.9165832,
1.4362148,
,1.3075151
,0.7966981
,-0.20369254
,0.8659554
,1.1486374
,-0.45589834
,0.48875675
,0.60937107
1.0,
1.0,
1.0,
1.0,
0.6802717,
0.35523444,
0.40740922,
1.0,
1.9206847e-05,
,0.0
,0.0
,0.0
,0.0
,0.6442233
,-0.060317464
,-0.22280128
,0.0
1.0,
1.0,
1.0,
1.0,
1.0380752,
1.0,
0.64213634,
0.27375415,
,0.0
,0.0
,0.0
,0.0
,0.6978172
,0.0
,0.37813976
,0.2905848
1.0,
1.0,
1.0,
1.0,
1.2063742,
0.96892214,
1.3765142,
2.206718,
0.7284773,
1.0,
1.1904769,
2.0167837,
,0.0
,0.0
,0.0
,0.0
,0.7037429
,0.8100708
,2.014205
,0.25861025
,0.0
,1.0552286
,1.5117508
1.0,
1.0,
1.0,
1.0,
1.0,
1.1561801,
1.0,
0.7397333,
1.0,
0.79496306,
0.83461875,
-0.00036490653,
-0.000118229305,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.8003439
,0.0
,0.532977
,0.0
,0.2886407
,4.9671407
,4.2469716
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.59396726,
1.0,
0.57333803,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.38994327
,0.0
,0.49469504
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.5768902,
0.6317311,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.29580557
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
1.0093703,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.650245
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
0.7975973,
1.0,
1.0,
0.2714871,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.7250089
,0.0
,0.0
,0.121777646
,0.0
,0.0
,0.0
1.0,
1.0,
1.0,
1.0,
1.0,
6.18716e-05,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0


Non_Zero_Non_One_Weights,Biases
0.3591787,
,-0.71919626
1.2620388,
0.11719144,
0.6602608,
1.0919452,
1.1098557,
0.5711706,
1.186931,
1.372713,
,-0.39766905
,0.6074245
,1.024876
,0.5971182
,0.5288841
,1.0764947
,-0.41724783
,0.82157797
1.0,
1.0,
1.0,
1.0,
0.64012235,
0.3427806,
0.21779011,
1.0,
3.0163998e-05,
,0.0
,0.0
,0.0
,0.0
,0.8144294
,-0.022337167
,0.3450853
,0.0
1.0,
1.0,
1.0,
1.0,
0.9542271,
1.0,
0.6535716,
0.33932802,
,0.0
,0.0
,0.0
,0.0
,0.9937179
,0.0
,0.37357023
,-0.008029484
1.0,
1.0,
1.0,
1.0,
1.228583,
1.1506611,
1.0883628,
2.2401934,
0.7109182,
1.0,
1.2236559,
2.0968106,
,0.0
,0.0
,0.0
,0.0
